Nom,Adresse,BP,Pays,Email,Fax,Téléphone,Site Web,Agrément CREPMF,Gestion libre,Apport initial (FCFA),Courtage (%),Frais de conservation,Observations
SGI BNI FINANCES,"AV. MARCHAND, 14ème étage IMMEUBLE BELLERIVE PLATEAU 01",670 ABIDJAN 01,CÔTE D'IVOIRE,bnifinances@bni.ci,(225) 27 20 31 07 78,(+225) 27 20 31 07 77,https://www.bni.ci/groupe-bni/bni-finances,SGI 019 / 2003 ,,,,,
ORAGROUP SECURITIES,"COCODY MERMOZ, RUE JEANNE GERVAIS, LOT 7B ET 8",08 BPM 701 ABIDJAN 08,CÔTE D'IVOIRE,contactOGS@orabank.net,N/A,(+225) 07 88 77 15 69,www.oragroupsecurities.net,,,,,,
PHOENIX CAPITAL MANAGEMENT,Cocody Riviera 4 Golf Face à 'annexe de l'Ambassade des USA,01 BP 12686 Abidjan 01,CÔTE D'IVOIRE,cms@phoenixafrica.com,N/A,(+225) 2722598580,https://phoenixafricaholding.com/pcm/,,,,,,
SGI AFRICABOURSE,Avenue Steinmetz en face de DHL ex- Air Gabon 01,6002 COTONOU BENIN,BENIN,africabourse@africabourse.com,(229) 21 31 14 54,(+229) 21 31 88 35/36,www.africabourse.com,,,,,,
Image finances Internationales,"Ouaga 2000, coté Est de la mosquée KANAZOE",05 BV 30130 Ouagadougou 05 - BF,BURKINA FASSO,contact@image-finance.com,N/A,(+226) 25 66 78 78 / (+226) 04 00 00 46,www.image-finance.com,SGI/2024-01,,,,,
Invictus Capital & Finance,"Immeuble El Hadji Rey TALL AMAR Lot N°46, 21 Av. Lamine Gueye x Dodds, 12ème étage","BP 15 498 Dakar, Sénégal",SÉNÉGAL,contact@invictuscapfin.com,N/A,(+221) 33 864 58 58 / (+221) 33 820 02 25,www.invictuscapfin.com,,,,,,
MATHA SECURITIES,Immeuble TROPIQUE 3 – 3ème étage Boulevard de la République – Plateau 01 BP 10762 Abidjan 01 – Côte d’Ivoire,,CÔTE D'IVOIRE,contact@mathasecurities.com,N/A,(+225) 27 20 24 30 30 / (+ 225) 27 20 33 19 19,https://mathasecurities.com/,,,,,,
NSIA FINANCE,"8 et 10, Avenue Joseph Anoma, Tour BIAO 14ème étage",18 BP 2294 Abidjan 18,CÔTE D'IVOIRE,nsiafinance@nsiafinance.com/EquipeCommerciale_NSIAFinance_@nsiabanque.com,N/A,(+225) 2720200653,https://www.nsiafinance.com/,,,,,,
EVEREST FINANCE,"Immeuble Platinum - 4ème étage, 18 Bd de la république",BP 11659,SÉNÉGAL,all@everestfin.com,(221) 33 82 28 700,(+221) 33 82 28 700,www.everestfin.com,,,,,,
FINANCE GESTION INTERMEDIATION,"Point E, Immeuble EPI, 1er étage, Boulevard du Sud x Rue 1","BP 25672 Dakar, Sénégal",SÉNÉGAL,contact@fgi-bourse.com,N/A,(+221) 33 867 60 42 / (221) 78 152 05 05,www.fgi-bourse.com,,,,,,
GEK CAPITAL,"Abidjan, Cocody, Riviera Golf, Cité Riviera Beach, Villa Emeraude",17 BP 41 Abidjan 17,CÔTE D'IVOIRE,info@gekcapital.com,N/A,(+225)  27 22 22 43 60,www.gekcapital.com,,,,,,
GLOBAL CAPITAL,Bamako ACl 2000 Rue 239 Parcelle 2355 1er étage,BP E3407,MALI,contact@sgiglobalcapital.com,N/A,(+223) 44 90 59 74 / 44 90 59 75,www.sgiglobalcapital.com,SGI/2021-01,,,,,
BOA CAPITAL SECURITIES,"Plateau - Boulevard de la République, Avenue Crozet, Immeuble XL au 2ème étage.",01 BP 4854 Abidjan 01,CÔTE D'IVOIRE,info@boacapital.com,(225) 27 20 32 04 68,(+225) 27 20 30 21 22,www.boacapital.com,,,,,,
BRIDGE SECURITIES,"Immeuble THE ONE, Cocody 33, Rue de la Cannebière",01 BP 13002 Abidjan 01,CÔTE D'IVOIRE,info@bridge-securities.com,N/A,(+225) 05 85 74 98 98 / 05 74 80 80 31,www.bridge-securities.com,,,,,,
BSIC CAPITAL SA,"Avenue Noguès, Immeuble Broadway Center 3ème étage Plateau",01 BP 7032 Abidjan 01 Côte d'Ivoire,CÔTE D'IVOIRE,bsic.capital@bsicbank.com,+225 27 20 31 71 12,(+225) 27 20 31 71 11,https://bsiccapital.com/,,,,,,
Compagnie d’Ingénierie Financière et d’Assistance en Bourse,"Immeuble SANLAM 3ième étage, Boulevard du 22 Octobre 1946, Quartier du Fleuve, Bamako/Mali",,MALI,info@cifabourse.com,,(+223) 20235020,www.cifabourse.com,SGI/2021/003,,,,,
